	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGrocs_with_names-2dock_mol181	6.907667	-25.121382	32.029049	32.029049
2hoj_LIGrocs_with_names-2dock_mol182	-99.985718	-37.172607	-62.813110	-62.813110
2hoj_LIGrocs_with_names-2dock_mol183	-27.919094	-48.463047	20.543953	20.543953
2hoj_LIGrocs_with_names-2dock_mol184	-46.152367	-44.033787	-2.118578	-2.118578
2hoj_LIGrocs_with_names-2dock_mol185	-13.664099	-32.699680	19.035582	19.035582
2hoj_LIGrocs_with_names-2dock_mol186	-15.211861	-30.755404	15.543543	15.543543
2hoj_LIGrocs_with_names-2dock_mol187	-76.280853	-45.205769	-31.075085	-31.075085
2hoj_LIGrocs_with_names-2dock_mol188	42.939373	-3.427505	46.366879	46.366879
2hoj_LIGrocs_with_names-2dock_mol189	-15.503851	-41.272392	25.768541	25.768541
2hoj_LIGrocs_with_names-2dock_mol190	6.654903	-43.279869	49.934772	49.934772
2hoj_LIGrocs_with_names-2dock_mol191	-22.267628	-46.676582	24.408955	24.408955
2hoj_LIGrocs_with_names-2dock_mol192	-13.364483	-32.497314	19.132832	19.132832
2hoj_LIGrocs_with_names-2dock_mol193	7.419992	-21.788626	29.208618	29.208618
2hoj_LIGrocs_with_names-2dock_mol194	-11.135437	-32.632523	21.497086	21.497086
2hoj_LIGrocs_with_names-2dock_mol195	-68.330620	-36.343624	-31.986998	-31.986998
2hoj_LIGrocs_with_names-2dock_mol196	-71.935593	-29.012444	-42.923153	-42.923153
2hoj_LIGrocs_with_names-2dock_mol197	-43.569473	-31.234762	-12.334711	-12.334711
2hoj_LIGrocs_with_names-2dock_mol198	-47.326611	-42.123783	-5.202827	-5.202827
2hoj_LIGrocs_with_names-2dock_mol199	4.084616	-31.477293	35.561909	35.561909
2hoj_LIGrocs_with_names-2dock_mol200	-15.609554	-36.741768	21.132214	21.132214
2hoj_LIGrocs_with_names-2dock_mol201	-23.184050	-38.422981	15.238932	15.238932
2hoj_LIGrocs_with_names-2dock_mol202	7.109966	-40.626255	47.736221	47.736221
2hoj_LIGrocs_with_names-2dock_mol203	-14.006783	-35.182953	21.176170	21.176170
2hoj_LIGrocs_with_names-2dock_mol204	29.321125	-31.513809	60.834934	60.834934
2hoj_LIGrocs_with_names-2dock_mol205	-72.328217	-39.852425	-32.475796	-32.475796
2hoj_LIGrocs_with_names-2dock_mol206	10.112797	-34.860268	44.973064	44.973064
2hoj_LIGrocs_with_names-2dock_mol207	-12.457382	-32.071022	19.613640	19.613640
2hoj_LIGrocs_with_names-2dock_mol208	-71.648453	-32.950329	-38.698120	-38.698120
2hoj_LIGrocs_with_names-2dock_mol209	-74.535843	-38.564335	-35.971512	-35.971512
2hoj_LIGrocs_with_names-2dock_mol210	-46.925888	-37.493900	-9.431988	-9.431988
2hoj_LIGrocs_with_names-2dock_mol211	5.246582	-42.127876	47.374458	47.374458
2hoj_LIGrocs_with_names-2dock_mol212	3.409824	-41.707775	45.117599	45.117599
2hoj_LIGrocs_with_names-2dock_mol213	-44.076630	-26.932537	-17.144094	-17.144094
2hoj_LIGrocs_with_names-2dock_mol214	-18.354645	-39.969620	21.614975	21.614975
2hoj_LIGrocs_with_names-2dock_mol215	7.049442	-35.644489	42.693932	42.693932
2hoj_LIGrocs_with_names-2dock_mol216	-16.333294	-33.712795	17.379501	17.379501
2hoj_LIGrocs_with_names-2dock_mol217	-99.862503	-33.313953	-66.548546	-66.548546
2hoj_LIGrocs_with_names-2dock_mol218	5.652721	-39.066628	44.719349	44.719349
2hoj_LIGrocs_with_names-2dock_mol219	-14.131208	-34.913094	20.781885	20.781885
2hoj_LIGrocs_with_names-2dock_mol220	3.916782	-38.138660	42.055443	42.055443
2hoj_LIGrocs_with_names-2dock_mol221	-22.877144	-49.084995	26.207851	26.207851
2hoj_LIGrocs_with_names-2dock_mol222	-23.045933	-42.726360	19.680428	19.680428
2hoj_LIGrocs_with_names-2dock_mol223	-16.620121	-40.862198	24.242077	24.242077
2hoj_LIGrocs_with_names-2dock_mol224	-19.666334	-41.804214	22.137880	22.137880
2hoj_LIGrocs_with_names-2dock_mol225	-24.833549	-43.053612	18.220062	18.220062
2hoj_LIGrocs_with_names-2dock_mol226	-19.638901	-44.325802	24.686901	24.686901
2hoj_LIGrocs_with_names-2dock_mol227	5.315857	-41.270157	46.586014	46.586014
2hoj_LIGrocs_with_names-2dock_mol228	-69.667503	-35.760178	-33.907326	-33.907326
2hoj_LIGrocs_with_names-2dock_mol229	-21.763992	-40.361282	18.597290	18.597290
2hoj_LIGrocs_with_names-2dock_mol230	-16.922144	-40.447586	23.525442	23.525442
2hoj_LIGrocs_with_names-2dock_mol231	11.038235	-39.494366	50.532600	50.532600
2hoj_LIGrocs_with_names-2dock_mol232	-51.798691	-44.840714	-6.957979	-6.957979
2hoj_LIGrocs_with_names-2dock_mol233	-15.377752	-37.556221	22.178469	22.178469
2hoj_LIGrocs_with_names-2dock_mol234	-15.442072	-37.218216	21.776144	21.776144
2hoj_LIGrocs_with_names-2dock_mol235	-10.612640	-34.935413	24.322773	24.322773
2hoj_LIGrocs_with_names-2dock_mol236	-17.626663	-40.640469	23.013805	23.013805
2hoj_LIGrocs_with_names-2dock_mol237	-14.050566	-33.674679	19.624113	19.624113
2hoj_LIGrocs_with_names-2dock_mol238	-11.903933	-29.626886	17.722954	17.722954
2hoj_LIGrocs_with_names-2dock_mol239	-18.161316	-35.606354	17.445038	17.445038
2hoj_LIGrocs_with_names-2dock_mol240	-27.500694	-49.593727	22.093033	22.093033
2hoj_LIGrocs_with_names-2dock_mol241	-12.646299	-38.844212	26.197912	26.197912
2hoj_LIGrocs_with_names-2dock_mol242	-65.537888	-34.469860	-31.068031	-31.068031
2hoj_LIGrocs_with_names-2dock_mol243	7.410797	-33.457626	40.868423	40.868423
2hoj_LIGrocs_with_names-2dock_mol244	1.254673	-39.069748	40.324421	40.324421
2hoj_LIGrocs_with_names-2dock_mol245	4.911461	-39.920219	44.831680	44.831680
2hoj_LIGrocs_with_names-2dock_mol246	-14.335207	-34.871395	20.536188	20.536188
2hoj_LIGrocs_with_names-2dock_mol247	-41.385014	-28.735025	-12.649988	-12.649988
2hoj_LIGrocs_with_names-2dock_mol248	-100.006378	-33.789124	-66.217255	-66.217255
2hoj_LIGrocs_with_names-2dock_mol249	-13.715403	-39.280586	25.565184	25.565184
2hoj_LIGrocs_with_names-2dock_mol250	-47.851795	-41.938438	-5.913357	-5.913357
2hoj_LIGrocs_with_names-2dock_mol251	-17.129366	-39.592903	22.463537	22.463537
