	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol219	-17.635277	-37.642170	20.006893	1.669593
2hoj_LIGfilip-balloon_mol220	-5.698910	-40.850967	35.152058	6.077671
2hoj_LIGfilip-balloon_mol221	-28.142975	-45.109703	16.966728	11.307693
2hoj_LIGfilip-balloon_mol222	-26.597584	-46.534309	19.936726	12.139175
2hoj_LIGfilip-balloon_mol223	-17.909857	-35.256069	17.346212	7.145875
2hoj_LIGfilip-balloon_mol224	-27.643475	-44.634151	16.990677	5.138896
2hoj_LIGfilip-balloon_mol225	-30.143633	-49.570076	19.426443	1.957027
2hoj_LIGfilip-balloon_mol226	-24.990974	-42.262997	17.272022	10.678061
2hoj_LIGfilip-balloon_mol227	-2.140739	-43.321812	41.181072	3.703758
2hoj_LIGfilip-balloon_mol228	-76.574387	-39.833702	-36.740681	3.367413
2hoj_LIGfilip-balloon_mol229	-27.924545	-48.393017	20.468472	6.650802
2hoj_LIGfilip-balloon_mol230	-21.929386	-37.889526	15.960141	9.209904
2hoj_LIGfilip-balloon_mol231	3.788399	-31.544090	35.332489	9.598031
2hoj_LIGfilip-balloon_mol232	-57.951527	-49.692348	-8.259179	16.071321
2hoj_LIGfilip-balloon_mol233	-26.272835	-46.107731	19.834896	7.785100
2hoj_LIGfilip-balloon_mol234	-19.863188	-37.142387	17.279200	9.787752
2hoj_LIGfilip-balloon_mol235	-20.448048	-38.025452	17.577404	7.273757
2hoj_LIGfilip-balloon_mol236	-13.763788	-33.389854	19.626066	7.713496
2hoj_LIGfilip-balloon_mol237	-15.847208	-39.923492	24.076284	1.480740
2hoj_LIGfilip-balloon_mol238	-16.885912	-37.389992	20.504080	3.398303
2hoj_LIGfilip-balloon_mol239	-27.283449	-51.016460	23.733011	12.901644
2hoj_LIGfilip-balloon_mol240	-33.807945	-54.125832	20.317888	13.097919
2hoj_LIGfilip-balloon_mol241	-15.301434	-38.139175	22.837742	7.991909
2hoj_LIGfilip-balloon_mol242	-69.955025	-37.838882	-32.116142	8.781444
2hoj_LIGfilip-balloon_mol243	3.675785	-40.386379	44.062164	5.432664
2hoj_LIGfilip-balloon_mol244	-1.442211	-47.714653	46.272442	9.016382
2hoj_LIGfilip-balloon_mol245	-6.720882	-47.579178	40.858295	14.986229
2hoj_LIGfilip-balloon_mol246	-17.401346	-36.701904	19.300558	6.053683
2hoj_LIGfilip-balloon_mol247	-47.612381	-30.706219	-16.906162	13.583941
2hoj_LIGfilip-balloon_mol248	-104.763359	-39.124397	-65.638962	5.480995
2hoj_LIGfilip-balloon_mol249	-19.310772	-40.891945	21.581173	4.895837
2hoj_LIGfilip-balloon_mol250	-45.108051	-33.433357	-11.674694	19.346466
2hoj_LIGfilip-balloon_mol251	-20.920561	-40.708828	19.788267	5.347311
2hoj_LIGfilip-balloon_mol252	-22.426430	-46.039318	23.612888	8.023543
2hoj_LIGfilip-balloon_mol253	6.009449	-34.025711	40.035160	5.825785
2hoj_LIGfilip-balloon_mol254	-8.146244	-37.807629	29.661385	7.050172
2hoj_LIGfilip-balloon_mol255	-68.918098	-29.392933	-39.525166	8.972047
2hoj_LIGfilip-balloon_mol256	-49.449776	-38.114086	-11.335688	10.177804
2hoj_LIGfilip-balloon_mol257	18.650896	-1.575949	20.226845	20.993866
