	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-openbabel_mol231	7.277109	-25.121191	32.398300	32.398300
2hoj_LIGfilip-openbabel_mol232	-49.648338	-43.440678	-6.207661	-6.207661
2hoj_LIGfilip-openbabel_mol233	-18.122080	-43.593559	25.471479	25.471479
2hoj_LIGfilip-openbabel_mol234	-18.182316	-37.101460	18.919144	18.919144
2hoj_LIGfilip-openbabel_mol235	-13.396978	-33.536797	20.139818	20.139818
2hoj_LIGfilip-openbabel_mol236	-12.035452	-32.408352	20.372900	20.372900
2hoj_LIGfilip-openbabel_mol237	-11.544178	-33.957134	22.412956	22.412956
2hoj_LIGfilip-openbabel_mol238	-13.249660	-36.597157	23.347496	23.347496
2hoj_LIGfilip-openbabel_mol239	-19.204269	-39.270424	20.066154	20.066154
2hoj_LIGfilip-openbabel_mol240	-26.272346	-36.366829	10.094483	10.094483
2hoj_LIGfilip-openbabel_mol241	-12.884092	-37.295563	24.411470	24.411470
2hoj_LIGfilip-openbabel_mol242	-68.356743	-37.503792	-30.852949	-30.852949
2hoj_LIGfilip-openbabel_mol243	7.177715	-39.786961	46.964676	46.964676
2hoj_LIGfilip-openbabel_mol244	1.046440	-48.948784	49.995224	49.995224
2hoj_LIGfilip-openbabel_mol245	0.338818	-45.054878	45.393696	45.393696
2hoj_LIGfilip-openbabel_mol246	-10.986343	-29.261768	18.275425	18.275425
2hoj_LIGfilip-openbabel_mol247	-44.063255	-30.280779	-13.782477	-13.782477
2hoj_LIGfilip-openbabel_mol248	-99.670090	-33.259098	-66.410995	-66.410995
2hoj_LIGfilip-openbabel_mol249	-11.665192	-32.698124	21.032932	21.032932
2hoj_LIGfilip-openbabel_mol250	-41.156670	-32.644859	-8.511810	-8.511810
2hoj_LIGfilip-openbabel_mol251	-19.148527	-38.572117	19.423590	19.423590
2hoj_LIGfilip-openbabel_mol252	-18.669744	-41.063877	22.394133	22.394133
2hoj_LIGfilip-openbabel_mol253	9.367954	-43.295517	52.663471	52.663471
2hoj_LIGfilip-openbabel_mol254	0.641762	-53.601265	54.243027	54.243027
2hoj_LIGfilip-openbabel_mol255	-68.753540	-31.403793	-37.349751	-37.349751
2hoj_LIGfilip-openbabel_mol256	-40.282803	-34.405495	-5.877308	-5.877308
2hoj_LIGfilip-openbabel_mol257	9.694996	-29.259411	38.954407	38.954407
2hoj_LIGfilip-openbabel_mol258	-26.051380	-44.404865	18.353485	18.353485
2hoj_LIGfilip-openbabel_mol259	5.831318	-42.041447	47.872765	47.872765
2hoj_LIGfilip-openbabel_mol260	-71.220406	-30.042114	-41.178291	-41.178291
2hoj_LIGfilip-openbabel_mol261	-38.788776	-37.810276	-0.978500	-0.978500
2hoj_LIGfilip-openbabel_mol262	-69.767563	-34.935249	-34.832310	-34.832310
2hoj_LIGfilip-openbabel_mol263	-16.210358	-38.959160	22.748802	22.748802
2hoj_LIGfilip-openbabel_mol264	-75.061844	-30.956985	-44.104855	-44.104855
2hoj_LIGfilip-openbabel_mol265	-19.012028	-39.557510	20.545483	20.545483
2hoj_LIGfilip-openbabel_mol266	-12.735321	-34.192852	21.457531	21.457531
2hoj_LIGfilip-openbabel_mol267	-27.995083	-44.592453	16.597370	16.597370
2hoj_LIGfilip-openbabel_mol268	-24.871096	-48.113197	23.242102	23.242102
2hoj_LIGfilip-openbabel_mol269	8.417747	-27.124428	35.542175	35.542175
2hoj_LIGfilip-openbabel_mol270	-38.786419	-37.203796	-1.582622	-1.582622
2hoj_LIGfilip-openbabel_mol271	-42.066772	-41.557484	-0.509290	-0.509290
2hoj_LIGfilip-openbabel_mol272	0.097130	-45.505486	45.602615	45.602615
2hoj_LIGfilip-openbabel_mol273	-101.247009	-32.976761	-68.270248	-68.270248
2hoj_LIGfilip-openbabel_mol274	-70.994423	-31.115627	-39.878796	-39.878796
2hoj_LIGfilip-openbabel_mol275	-67.756432	-31.074425	-36.682007	-36.682007
2hoj_LIGfilip-openbabel_mol276	6.424534	-34.344040	40.768574	40.768574
2hoj_LIGfilip-openbabel_mol277	-12.619854	-34.779610	22.159756	22.159756
2hoj_LIGfilip-openbabel_mol278	-18.283535	-39.302818	21.019283	21.019283
